File:realTest.tsv

Max Regression Slope:		1.48560303446e-05
Min Regression Slope:		5.34146802856e-06
Mean Regression Slope:		9.1030726425e-06
Meadian Regression Slope:	8.64637177685e-06

Comparison to a slope of: 0  at alpha =  0.05
Positive Slopes:	10		Neutral Slopes:	0		Negative Slopes:	0

Slope                         Intercept                     Confidence Interval(95.0%)    
7.01277158482e-06             0.00258211611808              (1.6532817682781324e-06, 1.2372261401364172e-05)
9.36011829611e-06             0.00244070756931              (4.7714672677825804e-06, 1.394876932443721e-05)
8.57547317986e-06             0.00260739614176              (3.8618003000664741e-06, 1.3289146059659787e-05)
6.33186389875e-06             0.00266689653244              (1.0217286894677114e-06, 1.1641999108028641e-05)
5.34146802856e-06             0.00259746603567              (4.130230932019258e-07, 1.0269912963918131e-05)
1.35904211716e-05             0.00233954611591              (9.0913393182388915e-06, 1.8089503025009547e-05)
8.71727037383e-06             0.00263073277438              (3.5201038530078095e-06, 1.3914436894658253e-05)
1.48560303446e-05             0.00217262553006              (9.7827160425414547e-06, 1.9929344646703502e-05)
9.50279526309e-06             0.00246842862338              (4.40847859244282e-06, 1.459711193374684e-05)
7.74251428369e-06             0.0027650282942               (2.7628401788367626e-06, 1.2722188388545087e-05)
